Metric,Year,Value
Diphtheria - number of reported cases,1978,0
Diphtheria - number of reported cases,1979,0
Diphtheria - number of reported cases,1980,6395
Diphtheria - number of reported cases,1981,0
Diphtheria - number of reported cases,1982,2
Diphtheria - number of reported cases,1983,2
Diphtheria - number of reported cases,1984,0
Diphtheria - number of reported cases,1985,0
Diphtheria - number of reported cases,1986,0
Diphtheria - number of reported cases,1987,0
Diphtheria - number of reported cases,1988,0
Diphtheria - number of reported cases,1989,0
Diphtheria - number of reported cases,1990,1
Diphtheria - number of reported cases,1995,0
Diphtheria - number of reported cases,1997,0
Diphtheria - number of reported cases,1998,3
Diphtheria - number of reported cases,1999,13
Diphtheria - number of reported cases,2000,15
Diphtheria - number of reported cases,2001,6
Diphtheria - number of reported cases,2003,0
Diphtheria - number of reported cases,2004,0
Japanese encephalitis - number of reported cases,2011,0
Japanese encephalitis - number of reported cases,2012,0
Pertussis - number of reported cases,1974,12156
Pertussis - number of reported cases,1975,15011
Pertussis - number of reported cases,1976,10254
Pertussis - number of reported cases,1977,12751
Pertussis - number of reported cases,1978,12193
Pertussis - number of reported cases,1979,22542
Pertussis - number of reported cases,1980,13281
Pertussis - number of reported cases,1981,49903
Pertussis - number of reported cases,1982,78497
Pertussis - number of reported cases,1983,66617
Pertussis - number of reported cases,1984,46187
Pertussis - number of reported cases,1985,17949
Pertussis - number of reported cases,1986,30590
Pertussis - number of reported cases,1987,11991
Pertussis - number of reported cases,1988,422
Pertussis - number of reported cases,1989,9035
Pertussis - number of reported cases,1990,7404
Pertussis - number of reported cases,1991,136907
Pertussis - number of reported cases,1995,58
Pertussis - number of reported cases,1997,63
Pertussis - number of reported cases,1998,290
Pertussis - number of reported cases,1999,180
Pertussis - number of reported cases,2000,424
Pertussis - number of reported cases,2001,285
Pertussis - number of reported cases,2002,300
Pertussis - number of reported cases,2003,0
Pertussis - number of reported cases,2016,3
Pertussis - number of reported cases,2018,6
Total tetanus - number of reported cases,1974,803
Total tetanus - number of reported cases,1975,624
Total tetanus - number of reported cases,1976,691
Total tetanus - number of reported cases,1977,718
Total tetanus - number of reported cases,1978,645
Total tetanus - number of reported cases,1979,758
Total tetanus - number of reported cases,1980,831
Total tetanus - number of reported cases,1981,4094
Total tetanus - number of reported cases,1982,3402
Total tetanus - number of reported cases,1983,1986
Total tetanus - number of reported cases,1984,2963
Total tetanus - number of reported cases,1985,884
Total tetanus - number of reported cases,1986,103
Total tetanus - number of reported cases,1987,338
Total tetanus - number of reported cases,1988,1441
Total tetanus - number of reported cases,1989,1048
Total tetanus - number of reported cases,1990,1692
Total tetanus - number of reported cases,1991,933
Total tetanus - number of reported cases,1992,914
Total tetanus - number of reported cases,1997,27
Total tetanus - number of reported cases,1998,339
Total tetanus - number of reported cases,2000,1278
